activity,timestamp,x-axis,y-axis,z-axis
Idle,17/9/2020 16:02:19.052,-0.467346,-0.119965,9.896912
Idle,17/9/2020 16:02:19.052,-0.460175,-0.110382,9.914856
Idle,17/9/2020 16:02:19.052,-0.457779,-0.115173,9.905289
Idle,17/9/2020 16:02:19.052,-0.450592,-0.112778,9.900497
Idle,17/9/2020 16:02:19.052,-0.45896899999999996,-0.099609,9.904099
Idle,17/9/2020 16:02:19.052,-0.452988,-0.112778,9.900497
Idle,17/9/2020 16:02:19.052,-0.464966,-0.112778,9.914871
Idle,17/9/2020 16:02:19.052,-0.457779,-0.096024,9.902892999999999
Idle,17/9/2020 16:02:19.052,-0.45896899999999996,-0.102005,9.907684
Idle,17/9/2020 16:02:19.053,-0.46376000000000006,-0.110382,9.906494
Idle,17/9/2020 16:02:19.053,-0.45657299999999995,-0.117569,9.906479
Idle,17/9/2020 16:02:19.053,-0.462555,-0.125946,9.896912
Idle,17/9/2020 16:02:19.053,-0.4422,-0.128342,9.917266999999999
Idle,17/9/2020 16:02:19.053,-0.457779,-0.111572,9.895706
Idle,17/9/2020 16:02:19.053,-0.455383,-0.12355,9.901703
Idle,17/9/2020 16:02:19.053,-0.45417799999999997,-0.110382,9.920853
Idle,17/9/2020 16:02:19.053,-0.449387,-0.10319500000000001,9.912460000000001
Idle,17/9/2020 16:02:19.053,-0.452988,-0.110382,9.913666000000001
Idle,17/9/2020 16:02:19.053,-0.457779,-0.11636400000000001,9.904083
Idle,17/9/2020 16:02:19.053,-0.46136499999999997,-0.112778,9.902892999999999
Idle,17/9/2020 16:02:19.053,-0.45178199999999996,-0.121155,9.907684
Idle,17/9/2020 16:02:19.053,-0.46257,-0.111572,9.912476
Idle,17/9/2020 16:02:19.053,-0.460175,-0.113968,9.914871
Idle,17/9/2020 16:02:19.053,-0.464966,-0.117569,9.887329
Idle,17/9/2020 16:02:19.053,-0.45657299999999995,-0.106796,9.898102
Idle,17/9/2020 16:02:19.053,-0.44221499999999997,-0.113968,9.918457
Idle,17/9/2020 16:02:19.053,-0.464951,-0.12236,9.916061000000001
Idle,17/9/2020 16:02:19.053,-0.466156,-0.105591,9.91127
Idle,17/9/2020 16:02:19.053,-0.46136499999999997,-0.109177,9.913666000000001
Idle,17/9/2020 16:02:19.053,-0.45178199999999996,-0.109177,9.901703
Idle,17/9/2020 16:02:19.053,-0.462555,-0.11636400000000001,9.904099
Idle,17/9/2020 16:02:19.053,-0.457779,-0.102005,9.91008
